name,caption,story,source,notes
"IMG_0676.jpeg","Firehouse - March 2025 ","","Fire Source","Fire note"
"IMG_0867.jpeg","Ths is an example of a long caption blah blah balh blah blah balh blah blah balh blah blah balh blah blah balh blah blah balh blah blah balh","","Jane Doe"," "
"IMG_0920.jpeg","VO Street Work for ATT Fiber","",""," "
"IMG_0865.jpeg","Patio at 471 at VO\n","","Donna T.\n",""
"482238365_10235675672335271_5505073588828826786_n.jpg","Sunset","","Sun source","Sun note"
"IMG_0879.jpeg","Sandra","Story Test","",""
"IMG_0915.jpeg","Sunset","In Key West, people gather every evening at Mallory Pier (weather permitting) for a festive Sunset party.  Street performers, musicians, and vendors add to the atmosphere.","",""
"IMG_3023.jpeg","jkjhkjkj","","",""
"IMG_3024.jpeg","jhkjhkjhkj. jkjh ","","",""
"IMG_2630.jpeg","blah blah 2","","",""
"IMG_3020.jpeg","blahblah 1","","",""
"431167935_10159941623611080_8339353410307585855_n.jpg","Caption test","Roadpost signs like this are common in the carribean.  RickT, 4/22/25 ","",""
"IMG_2580.jpeg","Uncle Slim and Eddie in backyard at 2114 N.14 th St.  First Communion\n","","","maybe Godfather\n"
"IMG_2629.jpeg","Eddie Huber First Communion backyard at 2114 N. 14 th St.\n","","",""
"IMG_2939.jpeg","Lawrence \"Skip\" Huber\n","","",""
"IMG_2940.jpeg","Edward Frank Huber\nLawrence Nicholas Huber\n","","",""
"IMG_2942.jpeg","Edward Frank Huber Lawrence Nicholas Huber\n","Man would go through the neighborhood with hi s pony and sell photos\n","",""
"IMG_2944.jpeg","Edward Frank Huber\nLawrence Nicholas Huber\nRobert Marvin Huber\n","","",""
"IMG_2945.jpeg","Edward Frank Huber\nLawrence Nicholas Huber\nRobert Marvin Huber\n","Not our Car\n","",""
"IMG_2946.jpeg","","","","Eddie, Skip Bob?\n"
"IMG_2950.jpeg","Eddie Skip Bob Huber","","","Nora's?"
"IMG_2951.jpeg","Lawrence \"Skip\" Huber\n","","",""
"IMG_2952.jpeg","Lawrence \"Skip\" Huber\nFirst Communion\n","","",""
"IMG_2953.jpeg","Corinne Eleanor Klingler Huber and Sons\nEdward Frank Huber\nLawrence Nicholas Huber\nRobert Marvin Huber\n","At Calvary Cemetery \n Christina Koegel Huber Grave","","\n"
"IMG_2954.jpeg","Christina Koegel Huber at Calvary Cemetary","Buried at Calvary becauseBishop was out of town and no one knew where unconsecrated grounds were at Mt. Carmel Cemetery\n","","Mother of Albert, Lawrence, Frank, Clarence\n"
"IMG_2955.jpeg","Clarence \"Bud\" Huber","Visiting his mother's grave","",""
"IMG_2956.jpeg","Edward Frank Huber\nLawrence Nicholas Huber\nRobert Marvin Huber\nEvan Albert Huber\n","","",""
"IMG_2957.jpeg","Eddie, Skip, Bob, Evan Huber\n","","",""
"IMG_2958.jpeg","Eddie, Skip, Bob, Evan Huber fishing at Nora's\n","","",""
"IMG_2959.jpeg","Clarence Huber Dad and his sons Eddie, Skip, Bob, Evan\n","","",""
"IMG_2962.jpeg","Lawrence, Skip, Huber\n","","",""
"IMG_2964.jpeg","Eddie, Skip at Austin  St.\n","","",""
"IMG_2966.jpeg","Skip and Bob Huber backyard at 2114 N. 14th St.\n","","",""
"Photo734441729774_inner_70-85-688-89-67-722-703-699.jpeg","Clarence Huber \"Dad\"\nCorinne Klingler Huber \"Mom\" at 2114 N. 14th St. Kitchen","","","Moved in 1946 \nMoved out in 1955\n37 and 35 when moved in\n46 and 44 when moved out\n"
